link,cena,kategorija,transakcija,grad,opstina,kvadratura,godinaizgradnje,stanjenekretnine,povrsinazemljista,ukupanbrojspratova,spratnost,uknjizeno,tipgrejanja,brsoba,brkupatila,parking,lift,terasa,lodja,balkon,sigurnost,id,udaljenost_od_centra
https://www.nekretnine.rs/stambeni-objekti/stanovi/buda-tomovica-bele-vode-cukarica-id1199/Nkyt3Uhm3Ek/,25000,Stan,Prodaja,Beograd,"Bele vode",21,2003,"Standardna gradnja",NULL,3,-1,0,"TA peć",1,1,0,0,0,0,0,0,9077,9.4
https://www.nekretnine.rs/stambeni-objekti/stanovi/padinska-skela-43m2-pr-ta-uknj/NkVY7CUsaJij/,25000,Stan,Prodaja,Beograd,"Padinska skela",43,1975,"Standardna gradnja",NULL,1,-1,1,Ostalo,2,NULL,0,0,0,0,0,0,9078,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-padinska-skela-vrbovski-20-51m2-25000eur/NkZZ4X_jFUu/,25000,Stan,Prodaja,Beograd,"Padinska skela",51,NULL,"Izvorno stanje",NULL,2,2,1,"Klima uređaj, Etažno grejanje na gas",2,NULL,0,0,0,0,0,0,9079,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/20-stan-glogonjski-rit-id1529/NkdE7OE0KfD/,25000,Stan,Prodaja,Beograd,"Padinska skela",54,NULL,"Izvorno stanje",NULL,NULL,-1,0,"TA peć",2,1,1,0,0,0,0,0,9080,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/20-stan-u-kuci-id387/Nkw3AzclDYB/,25000,Stan,Prodaja,Beograd,"Padinska skela",60,NULL,"Izvorno stanje",NULL,NULL,-1,0,NULL,2,1,1,0,1,0,0,0,9081,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/vikend-kuca-dunavac-id1458/Nk_q8YGIREa/,25000,Stan,Prodaja,Beograd,"Padinska skela",69,NULL,"Izvorno stanje",NULL,NULL,-1,1,NULL,1,1,1,0,1,0,0,0,9082,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/rakovica-knezevac-knezevacka-05-25m2-26000eur/NkOiS4kBB7_/,26000,Stan,Prodaja,Beograd,Rakovica,25,NULL,"Standardna gradnja",NULL,4,4,0,"Etažno grejanje na gas",1,NULL,1,0,0,0,0,0,9110,12.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/cukarica-banovo-brdo-blagoja-parovica-10-30m2-27000eur/NkSdRvVApUC/,27000,Stan,Prodaja,Beograd,"Banovo brdo",30,NULL,"Izvorno stanje",NULL,6,0,1,"Centralno grejanje",1,NULL,0,1,0,0,1,0,9140,6
https://www.nekretnine.rs/stambeni-objekti/stanovi/karaburma-21m2-i-ta-za-sredivanje-id74514/NkFK-X1HbNH/,27000,Stan,Prodaja,Beograd,Karaburma,21,NULL,"Standardna gradnja",NULL,1,1,0,"TA peć",1,NULL,0,0,0,0,0,0,9141,4.2
https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-medakovic-ignjata-joba-20-32m2-27000eur/Nk9hi9hae9m/,27000,Stan,Prodaja,Beograd,Voždovac,32,NULL,"Standardna gradnja",NULL,6,6,0,NULL,2,NULL,0,0,0,0,0,0,9142,4.8
https://www.nekretnine.rs/stambeni-objekti/stanovi/cukarica-filmski-grad-miloja-zakica-10-28m2-27000eur/NklQF1AB8mP/,27000,Stan,Prodaja,Beograd,Žarkovo,28,NULL,Novogradnja,NULL,4,0,1,"Etažno grejanje na gas",1,NULL,0,0,0,0,0,0,9143,8.1
https://www.nekretnine.rs/stambeni-objekti/stanovi/10-stan-karaburma-id1576/NkIaWE2tM91/,27500,Stan,Prodaja,Beograd,Karaburma,21,NULL,"Izvorno stanje",NULL,2,1,0,"TA peć",1,1,0,0,0,0,0,0,9149,4.2
https://www.nekretnine.rs/stambeni-objekti/stanovi/prodajemo-uknjizen-lokal-u-pozeskoj-ulici-na-banovom-brdu/NkZlalVu5Tf/,28000,Stan,Prodaja,Beograd,"Banovo brdo",27,1991,"Standardna gradnja",NULL,2,-2,1,"Centralno grejanje",1,NULL,0,0,0,0,0,1,9166,6
https://www.nekretnine.rs/stambeni-objekti/stanovi/banovo-b-bparovica-30m2-sut-cg-uknj/Nk8r9nYNVOF/,28000,Stan,Prodaja,Beograd,"Banovo brdo",30,NULL,"Standardna gradnja",NULL,4,-2,1,"Centralno grejanje",1,NULL,0,0,0,0,0,1,9167,6
https://www.nekretnine.rs/stambeni-objekti/stanovi/banovo-brdo-30m2-id103676/NkEXvamhw5m/,28000,Stan,Prodaja,Beograd,"Banovo brdo",30,NULL,"Standardna gradnja",NULL,7,-2,1,"Centralno grejanje",1,1,0,0,0,0,0,0,9168,6
https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-paje-jovanovica-943-id943/Nk7BHdFHue-/,28000,Stan,Prodaja,Beograd,"Učiteljsko naselje",20,NULL,"Standardna gradnja",NULL,1,-1,0,"TA peć",1,1,0,0,0,0,0,0,9169,5.3
https://www.nekretnine.rs/stambeni-objekti/stanovi/prodajem-prostranu-garsonjeru-u-prizemlju-zgrade/NkOp8jCnHuI/,28000,Stan,Prodaja,Beograd,"Vidikovačka padina",32,2005,"Izvorno stanje",NULL,5,-1,0,"TA peć",0.5,1,1,0,0,0,0,0,9170,10.2
https://www.nekretnine.rs/stambeni-objekti/stanovi/zeleznik-radnih-akcija-890-id890/NkN19YB-Wns/,28000,Stan,Prodaja,Beograd,Železnik,22,NULL,"Standardna gradnja",NULL,8,8,0,"Centralno grejanje",1,1,0,0,0,0,0,0,9171,12.7
https://www.nekretnine.rs/stambeni-objekti/stanovi/cukarica-radnih-akcija-767-id767/NkuYDAV02Oi/,28000,Stan,Prodaja,Beograd,Železnik,29,NULL,"Standardna gradnja",NULL,NULL,1,1,"Centralno grejanje",1,1,0,0,0,0,0,0,9172,12.7
https://www.nekretnine.rs/stambeni-objekti/stanovi/15-stan-novogradnja-borca-id1478/Nk7uTYTFGfC/,28900,Stan,Prodaja,Beograd,"Borča I",34,2019,Novogradnja,NULL,7,7,0,"Etažno grejanje na gas",2,1,0,1,1,0,0,1,9180,18.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/rakovica-knezevac-mome-stanojlovica-15-33m2-29000eur/Nk4krtWHmZB/,29000,Stan,Prodaja,Beograd,Rakovica,33,NULL,"Standardna gradnja",NULL,4,0,0,"Etažno grejanje na gas",2,NULL,0,0,1,0,0,0,9197,12.6
